dataset,test_acc_MultiRocket_10000,test_acc_MultiRocket_49728,test_acc_mlp_MultiRocket_49728,test_acc_rf_MultiRocket_49728,test_acc_rf_MultiRocket_9600,test_acc_skew_MultiRocket_62160,test_acc_var_MultiRocket_62160,total_time_MultiRocket_10000,total_time_MultiRocket_49728,total_time_mlp_MultiRocket_49728,total_time_rf_MultiRocket_49728,total_time_rf_MultiRocket_9600,total_time_skew_MultiRocket_62160,total_time_var_MultiRocket_62160,timestamp,classifier,num_features,test_acc,train_time,test_time,total_time,itr,train_acc,generate_kernel_time,apply_kernel_on_train_time,apply_kernel_on_test_time,train_transform_time,test_transform_time,physical_cores,logical_cores,max_freq,min_freq,memory
Beef,,,,,,,,,,,,,,,08/04/2026 14:21,rf_MultiRocket_49728,49728,0.766666667,0.129913667,0.013207959,0.31564121,0,-1,0.068571958,0.051760667,0.052186959,2.79E-05,5.39E-05,8,8,3204,600,9
Coffee,,,,,,,,,,,,,,,08/04/2026 14:21,rf_MultiRocket_49728,49728,1,0.114910375,0.014215125,0.240931542,0,-1,0.046433833,0.032764,0.032608209,2.33E-05,5.57E-05,8,8,3204,600,9
Crop,,,,,,,,,,,,,,,08/04/2026 14:25,rf_MultiRocket_49728,49728,0.758571429,31.13784079,7.4210875,44.56299525,0,-1,0.015920917,1.566633125,4.421512916,0.000521042,0.005641542,8,8,3204,600,9
ECG200,,,,,,,,,,,,,,,08/04/2026 14:21,rf_MultiRocket_49728,49728,0.88,0.180971875,0.01585625,0.331831832,0,-1,0.031220458,0.060111083,0.043672166,3.40E-05,4.38E-05,8,8,3204,600,9
ECG200,,,,,,,,,,,,,,,03/04/2026 13:56,rf_MultiRocket_9600,9600,0.88,0.154166042,0.013853,0.204760833,0,-1,0.01048225,0.011448166,0.014811375,2.07E-05,7.60E-05,8,8,3204,600,9
ElectricDevices,,,,,,,,,,,,,,,08/04/2026 14:23,rf_MultiRocket_49728,49728,0.726624303,68.75633454,0.480663042,75.20870888,0,-1,0.026598958,3.121100167,2.824012167,0.006345708,0.012760917,8,8,3204,600,9
InsectWingbeatSound,,,,,,,,,,,,,,,31/03/2026 15:38,MultiRocket_10000,10000,0.642424242,0.694419167,0.042347917,0.962151042,0,-1,0.01027925,0.027256583,0.187848125,4.89E-05,0.000407667,10,10,4,0,17
InsectWingbeatSound,,,,,,,,,,,,,,,31/03/2026 15:38,MultiRocket_49728,49728,0.637373737,1.628165084,0.225057209,2.833681419,0,-1,0.027483875,0.097459292,0.855515959,7.96E-05,0.000464625,10,10,4,0,17
InsectWingbeatSound,,,,,,,,,,,,,,,08/04/2026 14:21,rf_MultiRocket_49728,49728,0.666666667,0.587091375,0.059583375,2.560904666,0,-1,0.042241125,0.185818083,1.686170708,0.0001035,0.002119375,8,8,3204,600,9
StarLightCurves,,,,,,,,,,,,,,,31/03/2026 15:39,MultiRocket_10000,10000,0.97948033,1.652332042,0.201357583,4.187274709,0,-1,0.031560459,0.254879792,2.047144833,0.000915291,0.008831625,10,10,4,0,17
StarLightCurves,,,,,,,,,,,,,,,31/03/2026 15:40,MultiRocket_49728,49728,0.979966003,1.775467291,0.912552209,13.41521425,0,-1,0.08124875,1.130734583,9.515211417,0.000897417,0.007076667,10,10,4,0,17
StarLightCurves,,,,,,,,,,,,,,,08/04/2026 14:22,rf_MultiRocket_49728,49728,0.980330257,2.353379417,0.519808,23.27339742,0,-1,0.122640375,2.392879834,17.88468979,0.001381833,0.015040792,8,8,3204,600,9
